Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "bitlight.brd" as of: 2/14/2021 7:31 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.900,0.350,270
C2,Top,1.400,0.230,270
C3,Top,1.380,1.040,90
C4,Top,1.380,1.190,270
C5,Top,0.070,1.020,90
C6,Top,0.330,1.100,270
D1,Top,0.950,0.650,210
D2,Top,0.590,1.040,180
J1,Top,1.850,1.100,270
J2,Top,1.750,0.650,90
R1,Top,1.630,0.850,270
R2,Top,1.540,0.850,270
R3,Top,0.590,1.140,0
R4,Top,1.880,0.220,180
R5,Top,1.900,0.100,270
R6,Top,0.170,0.890,0
R7,Top,0.320,0.920,90
R8,Top,0.070,1.200,270
R9,Top,0.450,0.200,90
U1,Top,1.650,0.300,0
U2,Top,1.500,1.170,90
U3,Top,0.200,1.100,0
U4,Top,0.200,0.300,90
